# Population lc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population fl	R05,Y01,Y02,Y03
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Group defaultgrp	lc,fl,pl
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
4	10003|14|453	-451	0.18188	0.18188	0.00000	0.00797	0.00797	0.00000	-0.00248	-0.00248	0.00000
6	10006|15|473	-471	-0.13545	-0.06553	0.00000	-0.16336	0.17840	0.00000	-0.11922	0.26797	0.00000
7	10007|11|391	-389	0.00039	-0.06553	0.00000	0.50062	0.17840	0.00000	0.63303	0.26797	0.00000
9	10009|19|445	-443	-0.03074	-0.03074	0.00000	-0.02849	-0.02849	0.00000	0.25762	0.25762	0.00000
10	1001|16|470	-468	0.01192	0.11730	0.00000	0.14518	0.13919	0.00000	0.19329	0.19329	0.00000
11	10010|11|541	-527	0.23408	0.11730	0.00000	0.13255	0.13919	0.00000	-nan	0.19329	0.00000
13	10012|14|405	-403	0.39583	0.39583	0.00000	0.26874	0.26874	0.00000	0.17563	0.17563	0.00000
14	10014|9|435	-423	-0.05985	0.01363	0.00000	-0.03595	0.00126	0.00000	0.37677	0.17558	0.00000
16	10015|17|481	-479	0.06011	0.01363	0.00000	0.02480	0.00126	0.00000	0.04830	0.17558	0.00000
20	10018|11|403	-400	0.15718	0.15718	0.00000	0.10903	0.10903	0.00000	0.38418	0.38418	0.00000
24	10027|12|441	-439	0.01033	0.01033	0.00000	0.00126	0.00126	0.00000	0.02299	0.02299	0.00000
26	10033|16|443	-441	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00774	0.00774	0.00000
27	10034|9|432	-430	0.20697	0.40122	0.00000	0.08625	0.22332	0.00000	0.33455	0.32483	0.00000
28	10037|8|481	-479	0.78127	0.40122	0.00000	0.49148	0.22332	0.00000	0.30582	0.32483	0.00000
34	10046|16|515	-478	0.25351	0.13795	0.00000	0.10765	0.05748	0.00000	0.09148	0.05319	0.00000
35	10047|11|450	-448	0.00627	0.13795	0.00000	0.00030	0.05748	0.00000	0.00956	0.05319	0.00000
38	10050|31|495	-493	0.45060	0.33000	0.00000	0.23058	0.13158	0.00000	0.25872	0.24093	0.00000
39	10051|15|427	-425	0.20288	0.33000	0.00000	0.02723	0.13158	0.00000	0.22218	0.24093	0.00000
40	10053|15|509	-507	-0.04137	-0.04137	0.00000	-0.00155	-0.00155	0.00000	0.00876	0.00876	0.00000
44	10057|10|395	-391	0.12499	0.12499	0.00000	0.05224	0.05224	0.00000	0.23660	0.23660	0.00000
45	10058|17|471	-455	-0.12162	0.34716	0.00000	-0.13416	0.03083	0.00000	0.38438	0.42370	0.00000
46	10060|11|425	-423	0.76786	0.34716	0.00000	0.17890	0.03083	0.00000	0.45898	0.42370	0.00000
48	10061|14|435	-433	0.17695	0.63706	0.00000	0.25056	0.54900	0.00000	0.63976	0.62123	0.00000
51	10063|11|447	-445	0.89869	0.63706	0.00000	0.71869	0.54900	0.00000	0.61069	0.62123	0.00000
54	10069|11|393	-391	0.27128	0.27128	0.00000	0.04868	0.04868	0.00000	0.44884	0.44884	0.00000
55	10072|8|331	-329	-0.17333	-0.01498	0.00000	-0.20464	-0.06377	0.00000	0.17587	0.06855	0.00000
56	10074|8|356	-354	0.06264	-0.01498	0.00000	0.00528	-0.06377	0.00000	0.01594	0.06855	0.00000
58	10077|9|409	-407	-0.12218	0.14645	0.00000	-0.34127	0.06328	0.00000	0.62531	0.64324	0.00000
59	10078|29|508	-506	0.26855	0.14645	0.00000	0.24717	0.06328	0.00000	0.65140	0.64324	0.00000
62	10080|12|480	-478	0.03752	0.03752	0.00000	0.01827	0.01827	0.00000	0.45563	0.45563	0.00000
64	10082|13|464	-462	-0.03846	-0.03846	0.00000	-0.00311	-0.00311	0.00000	0.01624	0.01624	0.00000
67	10087|13|504	-502	0.00000	0.00000	0.00000	0.00279	0.00279	0.00000	0.01397	0.01397	0.00000
70	10089|12|320	-318	0.16067	0.16067	0.00000	0.25510	0.25510	0.00000	-nan	-nan	0.00000
71	10092|11|405	-403	0.18728	0.43683	0.00000	0.00793	0.38395	0.00000	-0.00248	0.36661	0.00000
72	10094|22|488	-484	0.83762	0.43683	0.00000	0.98787	0.38395	0.00000	0.95938	0.36661	0.00000
73	10095|11|471	-447	0.14360	0.26198	0.00000	0.00486	0.07384	0.00000	-0.00651	0.09427	0.00000
74	10097|15|493	-491	0.39857	0.26198	0.00000	0.15343	0.07384	0.00000	0.21056	0.09427	0.00000
75	10098|12|459	-457	-0.01321	0.04007	0.00000	-0.00127	0.04851	0.00000	0.26322	0.24044	0.00000
76	10099|22|456	-454	0.10950	0.04007	0.00000	0.11336	0.04851	0.00000	0.21076	0.24044	0.00000
79	10102|9|368	-366	0.59543	0.24866	0.00000	0.85002	0.35948	0.00000	0.50590	0.35508	0.00000
80	10103|12|457	-455	-0.00563	0.24866	0.00000	-0.00026	0.35948	0.00000	0.24448	0.35508	0.00000
84	10110|14|548	-460	0.94702	0.94702	0.00000	0.92171	0.92171	0.00000	0.80635	0.80635	0.00000
87	10117|14|437	-435	0.09839	0.27136	0.00000	0.09221	0.26532	0.00000	0.04948	0.19519	0.00000
88	1012|13|463	-461	0.47980	0.27136	0.00000	0.47393	0.26532	0.00000	0.37079	0.19519	0.00000
89	10122|19|482	-480	-0.04875	0.30647	0.00000	-0.00238	0.27116	0.00000	-0.05172	0.24595	0.00000
90	10123|11|472	-470	0.64518	0.30647	0.00000	0.53197	0.27116	0.00000	0.52977	0.24595	0.00000
92	10127|18|464	-462	-0.05612	-0.05612	0.00000	-0.00226	-0.00226	0.00000	0.29479	0.29479	0.00000
95	10129|8|396	-394	0.25021	0.25021	0.00000	0.06969	0.06969	0.00000	0.27018	0.27018	0.00000
96	1013|10|402	-400	0.35484	0.33351	0.00000	0.58105	0.46044	0.00000	0.58243	0.44727	0.00000
97	10130|12|455	-453	0.30188	0.33351	0.00000	0.28162	0.46044	0.00000	0.24686	0.44727	0.00000
98	10132|12|485	-483	0.19036	0.26013	0.00000	0.12188	0.06411	0.00000	0.28106	0.17407	0.00000
