# Stacks v2.0b;  Phylip sequential; October 10, 2018
# Seq Pos	Locus ID	Column	Population
0	4	74	lc:A,fl:R,pl:A,
1	4	132	lc:A,fl:R,pl:A,
2	7	17	lc:R,fl:R,pl:R,
3	6	22	lc:R,fl:N,pl:R,
4	6	26	lc:Y,fl:N,pl:Y,
5	6	27	lc:M,fl:N,pl:M,
6	6	39	lc:R,fl:N,pl:R,
7	6	41	lc:R,fl:N,pl:R,
8	7	53	lc:M,fl:N,pl:M,
9	6	60	lc:Y,fl:N,pl:Y,
10	6	65	lc:K,fl:N,pl:K,
11	7	67	lc:G,fl:G,pl:R,
12	6	74	lc:K,fl:N,pl:K,
13	7	75	lc:R,fl:N,pl:R,
14	6	85	lc:K,fl:N,pl:K,
15	6	90	lc:M,fl:N,pl:M,
16	6	93	lc:W,fl:N,pl:W,
17	6	100	lc:Y,fl:N,pl:Y,
18	6	102	lc:R,fl:N,pl:R,
19	6	106	lc:M,fl:N,pl:M,
20	6	112	lc:Y,fl:N,pl:Y,
21	7	125	lc:S,fl:N,pl:S,
22	6	133	lc:Y,fl:N,pl:Y,
23	6	136	lc:R,fl:N,pl:R,
24	6	138	lc:K,fl:N,pl:K,
25	6	140	lc:Y,fl:N,pl:Y,
26	7	141	lc:M,fl:N,pl:M,
27	7	145	lc:Y,fl:N,pl:Y,
28	6	151	lc:Y,fl:N,pl:Y,
29	7	154	lc:N,fl:N,pl:R,
30	6	157	lc:W,fl:N,pl:W,
31	6	163	lc:R,fl:N,pl:R,
32	7	166	lc:W,fl:W,pl:W,
33	6	168	lc:W,fl:N,pl:W,
34	6	173	lc:W,fl:N,pl:W,
35	6	174	lc:W,fl:N,pl:W,
36	6	182	lc:R,fl:N,pl:R,
37	7	201	lc:Y,fl:Y,pl:C,
38	6	205	lc:Y,fl:N,pl:N,
39	6	207	lc:M,fl:N,pl:N,
40	6	208	lc:R,fl:N,pl:N,
41	6	214	lc:W,fl:N,pl:N,
42	6	232	lc:W,fl:N,pl:N,
43	6	241	lc:W,fl:N,pl:N,
44	6	242	lc:Y,fl:N,pl:N,
45	9	28	lc:R,fl:N,pl:R,
46	9	67	lc:Y,fl:N,pl:Y,
