# Population fc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
6	fc	pl	NC_036838.1	129574	0.46908	0.19276	0.00000	0.37676	0.14167	0.00000	0.33558	0.13895	0.00000
12	fc	pl	NC_036838.1	184750	0.04616	0.18174	0.00000	0.03076	0.13086	0.00000	0.00546	0.13293	0.00000
13	fc	pl	NC_036838.1	203791	0.10031	0.17811	0.00000	0.06236	0.12733	0.00000	0.08300	0.13103	0.00000
14	fc	pl	NC_036838.1	278180	-0.02495	0.16968	0.00000	0.09656	0.11778	0.00000	0.10764	0.12798	0.00000
18	fc	pl	NC_036838.1	294441	0.28659	0.16896	0.00000	0.08730	0.11646	0.00000	0.11470	0.12813	0.00000
22	fc	pl	NC_036838.1	351036	0.33519	0.17032	0.00000	0.25523	0.11419	0.00000	0.26472	0.13121	0.00000
23	fc	pl	NC_036838.1	350993	-0.06490	0.17032	0.00000	-0.02233	0.11419	0.00000	0.02029	0.13121	0.00000
32	fc	pl	NC_036838.1	596700	0.47964	0.21686	0.00000	0.24392	0.12337	0.00000	0.27615	0.16188	0.00000
33	fc	pl	NC_036838.1	597124	0.16217	0.21689	0.00000	0.14012	0.12336	0.00000	0.29414	0.16189	0.00000
38	fc	pl	NC_036838.1	642853	0.00444	0.21646	0.00000	-0.00241	0.12113	0.00000	0.00178	0.16022	0.00000
51	fc	pl	NC_036838.1	1072846	-0.01492	0.05897	0.00000	-0.00070	0.01102	0.00000	0.00163	0.03715	0.00000
53	fc	pl	NC_036838.1	1237505	0.20241	0.08791	0.00000	0.03499	0.01441	0.00000	0.10830	0.04864	0.00000
67	fc	pl	NC_036838.1	1422786	0.02116	0.05908	0.00000	0.00577	0.01757	0.00000	0.02251	0.03490	0.00000
68	fc	pl	NC_036838.1	1423191	0.04020	0.05903	0.00000	-0.00103	0.01761	0.00000	0.00980	0.03489	0.00000
78	fc	pl	NC_036838.1	1625524	-0.01165	0.06875	0.00000	-0.00068	0.06850	0.00000	-0.02110	0.07314	0.00000
81	fc	pl	NC_036838.1	1733753	0.33459	0.06617	0.00000	0.34744	0.07377	0.00000	0.32912	0.09534	0.00000
84	fc	pl	NC_036838.1	1744572	-0.01681	0.06400	0.00000	-0.00075	0.07176	0.00000	0.00195	0.09600	0.00000
94	fc	pl	NC_036838.1	1936130	-0.07957	0.00115	0.00000	-0.10641	0.00637	0.00000	0.25483	0.06944	0.00000
99	fc	pl	NC_036838.1	1973227	0.03245	-0.00614	0.00000	0.02032	-0.00172	0.00000	0.12352	0.06425	0.00000
104	fc	pl	NC_036838.1	1995504	-0.01253	-0.00907	0.00000	-0.00062	-0.00521	0.00000	0.02004	0.06234	0.00000
106	fc	pl	NC_036838.1	2013574	-0.04579	-0.01068	0.00000	-0.00439	-0.00735	0.00000	-0.01210	0.06155	0.00000
115	fc	pl	NC_036838.1	2082754	-0.07143	-0.01128	0.00000	-0.07656	-0.01096	0.00000	-0.09300	0.06536	0.00000
116	fc	pl	NC_036838.1	2082580	-0.05994	-0.01129	0.00000	-0.06348	-0.01096	0.00000	-0.06595	0.06534	0.00000
129	fc	pl	NC_036838.1	2176752	0.20000	0.00159	0.00000	0.19424	-0.00710	0.00000	0.73367	0.08732	0.00000
136	fc	pl	NC_036838.1	2290662	0.07017	0.03151	0.00000	0.00418	0.00107	0.00000	0.16987	0.10884	0.00000
141	fc	pl	NC_036838.1	2505515	-0.07426	0.08032	0.00000	-0.08332	0.00574	0.00000	-0.12967	0.00704	0.00000
145	fc	pl	NC_036838.1	2555347	0.17479	0.09331	0.00000	0.06269	0.01064	0.00000	0.03361	-0.00160	0.00000
151	fc	pl	NC_036838.1	2700884	0.14793	0.12734	0.00000	0.02538	0.02786	0.00000	0.00411	0.01726	0.00000
164	fc	pl	NC_036838.1	2946656	0.02559	0.13413	0.00000	0.00119	0.04681	0.00000	0.00355	0.09058	0.00000
168	fc	pl	NC_036838.1	2979901	0.41160	0.12766	0.00000	0.17346	0.04517	0.00000	0.25781	0.09127	0.00000
175	fc	pl	NC_036838.1	3062091	-0.00544	0.10687	0.00000	-0.00030	0.03859	0.00000	0.07682	0.08584	0.00000
177	fc	pl	NC_036838.1	3064112	0.10519	0.10632	0.00000	0.01222	0.03842	0.00000	0.07639	0.08562	0.00000
188	fc	pl	NC_036838.1	3211044	-0.06128	0.07416	0.00000	-0.00828	0.02902	0.00000	0.01669	0.07618	0.00000
197	fc	pl	NC_036838.1	3253342	0.01950	0.07012	0.00000	0.00209	0.02727	0.00000	-0.00902	0.08048	0.00000
201	fc	pl	NC_036838.1	3348135	0.27567	0.06491	0.00000	0.14024	0.02048	0.00000	0.14188	0.10625	0.00000
205	fc	pl	NC_036838.1	3407677	0.00183	0.05915	0.00000	0.00162	0.01223	0.00000	0.08292	0.12972	0.00000
211	fc	pl	NC_036838.1	3488857	-0.17578	0.04899	0.00000	-0.21937	-0.00000	0.00000	0.43187	0.15815	0.00000
