# Stacks v2.0b;  Phylip sequential; October 02, 2018
# Seq Pos	Locus ID	Column	Population
0	587	23	fc:C,fl:C,pl:T,
1	706	332	fc:G,fl:N,pl:A,
2	732	256	fc:T,fl:N,pl:G,
3	1189	82	fc:T,fl:N,pl:A,
4	1319	178	fc:A,fl:N,pl:C,
5	1567	11	fc:C,fl:N,pl:T,
6	2137	221	fc:T,fl:N,pl:A,
7	4500	137	fc:A,fl:G,pl:A,
8	4871	259	fc:T,fl:N,pl:C,
9	5091	82	fc:A,fl:N,pl:T,
10	5273	125	fc:T,fl:N,pl:A,
11	5373	207	fc:G,fl:N,pl:A,
12	5402	63	fc:T,fl:C,pl:T,
13	5676	134	fc:T,fl:T,pl:G,
14	6796	24	fc:A,fl:N,pl:G,
15	7273	323	fc:C,fl:N,pl:T,
16	8081	131	fc:G,fl:G,pl:A,
17	8755	205	fc:C,fl:N,pl:T,
18	8772	70	fc:T,fl:N,pl:C,
19	8781	29	fc:G,fl:G,pl:A,
20	8783	203	fc:C,fl:N,pl:A,
21	9149	299	fc:G,fl:N,pl:T,
22	10011	307	fc:C,fl:N,pl:T,
23	11506	181	fc:C,fl:G,pl:G,
24	12159	67	fc:G,fl:G,pl:C,
25	12262	236	fc:T,fl:N,pl:C,
26	13616	77	fc:A,fl:N,pl:C,
27	13639	179	fc:G,fl:N,pl:T,
28	14555	49	fc:T,fl:C,pl:T,
29	14555	111	fc:C,fl:T,pl:C,
30	14749	46	fc:C,fl:T,pl:C,
31	15032	235	fc:C,fl:T,pl:C,
32	15515	242	fc:A,fl:N,pl:T,
33	15565	71	fc:T,fl:N,pl:A,
34	15565	86	fc:A,fl:N,pl:G,
35	15854	66	fc:A,fl:A,pl:G,
36	16410	258	fc:G,fl:N,pl:A,
37	16499	23	fc:C,fl:N,pl:T,
38	16569	141	fc:T,fl:N,pl:G,
39	16692	98	fc:G,fl:A,pl:G,
40	16722	161	fc:A,fl:N,pl:G,
41	16722	258	fc:G,fl:N,pl:A,
42	16731	274	fc:G,fl:A,pl:A,
43	16733	286	fc:A,fl:N,pl:T,
44	16804	252	fc:G,fl:T,pl:G,
45	16957	90	fc:A,fl:G,pl:A,
46	17008	250	fc:C,fl:N,pl:G,
47	17688	260	fc:A,fl:N,pl:G,
48	17746	332	fc:T,fl:N,pl:C,
49	17853	15	fc:T,fl:N,pl:C,
50	18019	269	fc:G,fl:N,pl:A,
51	18593	28	fc:C,fl:N,pl:T,
52	18624	204	fc:T,fl:N,pl:G,
53	18669	80	fc:A,fl:A,pl:C,
54	18669	79	fc:C,fl:C,pl:A,
55	18669	68	fc:A,fl:N,pl:T,
56	18971	56	fc:C,fl:T,pl:C,
57	19193	264	fc:G,fl:A,pl:A,
58	19873	234	fc:C,fl:N,pl:A,
59	19903	245	fc:A,fl:N,pl:G,
60	20193	215	fc:G,fl:N,pl:A,
61	20693	107	fc:A,fl:N,pl:G,
62	20697	97	fc:G,fl:G,pl:A,
63	20701	126	fc:A,fl:N,pl:G,
64	20700	160	fc:T,fl:N,pl:A,
65	20700	211	fc:C,fl:N,pl:T,
66	20722	250	fc:T,fl:N,pl:G,
67	21059	133	fc:C,fl:N,pl:A,
68	21340	44	fc:T,fl:T,pl:A,
69	21519	91	fc:T,fl:N,pl:G,
70	21519	207	fc:A,fl:N,pl:C,
71	21715	179	fc:C,fl:A,pl:C,
72	21939	272	fc:C,fl:N,pl:A,
73	21940	143	fc:G,fl:N,pl:A,
74	21947	201	fc:C,fl:N,pl:T,
75	21954	263	fc:G,fl:N,pl:T,
76	21960	206	fc:C,fl:G,pl:G,
77	21976	79	fc:G,fl:A,pl:A,
78	22624	42	fc:T,fl:N,pl:C,
79	22735	161	fc:G,fl:A,pl:G,
80	22751	121	fc:G,fl:A,pl:G,
81	23751	191	fc:C,fl:T,pl:C,
82	24042	217	fc:T,fl:N,pl:G,
83	24414	38	fc:G,fl:N,pl:A,
84	24466	95	fc:C,fl:N,pl:A,
85	25391	30	fc:G,fl:G,pl:A,
86	25391	78	fc:T,fl:T,pl:A,
87	25772	90	fc:T,fl:A,pl:T,
88	26426	43	fc:C,fl:N,pl:T,
89	26453	20	fc:A,fl:N,pl:G,
90	26517	106	fc:A,fl:N,pl:G,
91	26622	108	fc:T,fl:N,pl:C,
92	26628	38	fc:G,fl:N,pl:A,
93	26627	87	fc:A,fl:G,pl:G,
94	26629	273	fc:C,fl:N,pl:T,
95	26782	55	fc:T,fl:G,pl:T,
96	27324	178	fc:T,fl:N,pl:G,
97	27324	179	fc:C,fl:N,pl:T,
98	27352	119	fc:T,fl:C,pl:T,
99	27718	95	fc:C,fl:G,pl:C,
100	28083	230	fc:C,fl:N,pl:T,
101	28270	132	fc:C,fl:N,pl:T,
102	29454	106	fc:T,fl:C,pl:C,
103	29824	157	fc:T,fl:N,pl:G,
104	29927	243	fc:C,fl:N,pl:T,
105	30505	197	fc:A,fl:T,pl:A,
106	30764	273	fc:N,fl:T,pl:C,
107	30814	25	fc:A,fl:N,pl:T,
108	31989	167	fc:C,fl:N,pl:A,
109	32203	289	fc:G,fl:A,pl:N,
110	32358	232	fc:T,fl:G,pl:G,
111	32894	214	fc:A,fl:N,pl:G,
112	33229	209	fc:T,fl:N,pl:A,
113	33228	284	fc:G,fl:N,pl:A,
114	33305	120	fc:A,fl:G,pl:A,
115	34119	121	fc:A,fl:G,pl:A,
116	34438	25	fc:A,fl:N,pl:T,
117	34537	30	fc:C,fl:N,pl:A,
118	34895	237	fc:A,fl:C,pl:A,
119	35930	164	fc:C,fl:T,pl:C,
120	36033	186	fc:A,fl:G,pl:A,
121	36087	207	fc:C,fl:A,pl:A,
122	36587	14	fc:A,fl:N,pl:G,
123	37058	171	fc:G,fl:N,pl:A,
124	37853	215	fc:C,fl:T,pl:C,
125	38547	212	fc:A,fl:G,pl:A,
126	38546	46	fc:G,fl:A,pl:G,
127	38869	43	fc:N,fl:T,pl:A,
128	39644	9	fc:A,fl:N,pl:G,
129	39685	228	fc:C,fl:T,pl:T,
130	39898	201	fc:A,fl:C,pl:A,
131	39913	243	fc:A,fl:C,pl:N,
132	40171	240	fc:A,fl:A,pl:C,
133	40247	44	fc:T,fl:N,pl:A,
134	40601	276	fc:T,fl:N,pl:C,
135	40683	93	fc:T,fl:A,pl:T,
136	40815	29	fc:G,fl:A,pl:G,
137	41126	184	fc:A,fl:G,pl:G,
138	41132	35	fc:A,fl:N,pl:G,
139	41142	172	fc:C,fl:T,pl:T,
140	41141	327	fc:G,fl:A,pl:N,
141	41551	125	fc:T,fl:G,pl:G,
142	41769	194	fc:G,fl:N,pl:A,
143	42160	253	fc:G,fl:N,pl:C,
144	43326	29	fc:C,fl:T,pl:C,
145	43386	323	fc:G,fl:N,pl:T,
146	43644	265	fc:G,fl:A,pl:G,
147	43912	102	fc:A,fl:N,pl:T,
148	44909	215	fc:G,fl:N,pl:T,
149	45015	16	fc:G,fl:T,pl:G,
150	45014	20	fc:T,fl:G,pl:T,
151	45014	89	fc:A,fl:C,pl:A,
152	45041	189	fc:G,fl:N,pl:A,
153	45139	174	fc:G,fl:G,pl:A,
154	45142	104	fc:G,fl:G,pl:C,
155	45142	105	fc:G,fl:G,pl:A,
156	46783	179	fc:T,fl:T,pl:A,
157	46798	30	fc:C,fl:C,pl:A,
158	47096	220	fc:T,fl:N,pl:A,
159	47095	294	fc:A,fl:N,pl:G,
160	47098	169	fc:G,fl:N,pl:A,
161	47101	189	fc:A,fl:N,pl:C,
162	48262	195	fc:C,fl:T,pl:C,
163	48387	185	fc:T,fl:C,pl:T,
164	48576	119	fc:T,fl:G,pl:T,
165	49310	220	fc:G,fl:N,pl:A,
166	50674	231	fc:A,fl:N,pl:C,
167	51007	204	fc:T,fl:C,pl:N,
168	51135	273	fc:C,fl:G,pl:C,
169	51313	267	fc:T,fl:G,pl:T,
170	53627	180	fc:T,fl:C,pl:C,
171	53922	113	fc:C,fl:G,pl:C,
172	57002	204	fc:A,fl:G,pl:A,
173	57002	238	fc:C,fl:A,pl:C,
174	57360	270	fc:C,fl:C,pl:T,
175	57450	99	fc:T,fl:N,pl:C,
176	57450	233	fc:T,fl:N,pl:G,
177	57764	153	fc:G,fl:A,pl:G,
178	58170	36	fc:C,fl:A,pl:C,
179	58230	164	fc:A,fl:C,pl:A,
180	58284	295	fc:A,fl:G,pl:N,
181	58312	22	fc:C,fl:N,pl:T,
182	58312	141	fc:T,fl:N,pl:C,
183	58315	56	fc:A,fl:N,pl:G,
184	58315	320	fc:A,fl:N,pl:G,
185	59355	200	fc:G,fl:N,pl:A,
186	60292	71	fc:A,fl:G,pl:A,
187	60512	142	fc:T,fl:G,pl:T,
188	60512	134	fc:G,fl:A,pl:G,
189	60518	199	fc:C,fl:G,pl:N,
190	60778	253	fc:C,fl:C,pl:T,
191	61194	221	fc:G,fl:N,pl:A,
192	61217	286	fc:G,fl:N,pl:T,
193	61694	33	fc:C,fl:C,pl:G,
194	61734	183	fc:G,fl:N,pl:A,
195	61733	189	fc:C,fl:N,pl:T,
196	61863	274	fc:T,fl:T,pl:C,
197	61985	291	fc:G,fl:N,pl:A,
198	62063	41	fc:T,fl:N,pl:A,
199	62444	106	fc:T,fl:N,pl:G,
200	62510	142	fc:G,fl:N,pl:A,
201	64647	32	fc:A,fl:N,pl:T,
202	64955	20	fc:C,fl:N,pl:T,
203	65074	64	fc:T,fl:N,pl:C,
204	65316	229	fc:A,fl:A,pl:G,
205	65423	124	fc:C,fl:C,pl:T,
206	65928	283	fc:T,fl:C,pl:T,
207	66981	249	fc:T,fl:G,pl:T,
208	67851	184	fc:C,fl:T,pl:C,
209	68246	65	fc:G,fl:T,pl:G,
210	68633	133	fc:C,fl:A,pl:C,
211	68633	134	fc:A,fl:G,pl:A,
212	68698	21	fc:C,fl:T,pl:C,
213	68898	66	fc:C,fl:G,pl:C,
214	68941	178	fc:T,fl:G,pl:T,
215	69484	13	fc:G,fl:N,pl:C,
216	69732	193	fc:T,fl:N,pl:G,
217	69802	161	fc:C,fl:T,pl:T,
218	69944	160	fc:T,fl:N,pl:C,
219	69961	235	fc:G,fl:N,pl:C,
220	69986	298	fc:T,fl:C,pl:C,
221	69989	68	fc:G,fl:N,pl:A,
222	69988	91	fc:A,fl:N,pl:C,
223	70770	38	fc:G,fl:C,pl:G,
224	70770	22	fc:G,fl:A,pl:G,
225	71034	254	fc:T,fl:N,pl:G,
226	71034	165	fc:A,fl:N,pl:G,
227	72415	176	fc:G,fl:A,pl:N,
228	72653	114	fc:A,fl:N,pl:C,
229	75623	254	fc:C,fl:N,pl:T,
230	75828	103	fc:G,fl:N,pl:A,
231	75828	146	fc:A,fl:N,pl:G,
232	76779	212	fc:A,fl:N,pl:T,
233	78791	138	fc:G,fl:N,pl:A,
234	79719	284	fc:C,fl:N,pl:T,
235	79719	135	fc:A,fl:N,pl:T,
236	79719	134	fc:G,fl:N,pl:T,
237	79787	260	fc:G,fl:N,pl:A,
238	79787	44	fc:A,fl:G,pl:G,
239	79838	22	fc:A,fl:N,pl:C,
240	80370	155	fc:T,fl:C,pl:T,
241	80519	147	fc:G,fl:N,pl:T,
242	81188	46	fc:G,fl:N,pl:A,
243	81576	128	fc:G,fl:A,pl:G,
244	82412	313	fc:C,fl:N,pl:A,
245	82412	278	fc:G,fl:N,pl:C,
246	82412	248	fc:C,fl:N,pl:T,
247	82412	229	fc:A,fl:N,pl:T,
248	82412	82	fc:T,fl:N,pl:G,
249	82412	48	fc:G,fl:N,pl:C,
250	82411	60	fc:T,fl:N,pl:A,
251	82530	12	fc:C,fl:T,pl:T,
252	82708	266	fc:G,fl:C,pl:N,
253	82708	264	fc:C,fl:A,pl:N,
254	82713	177	fc:T,fl:C,pl:T,
255	83135	113	fc:C,fl:C,pl:A,
256	83137	283	fc:G,fl:N,pl:A,
257	83714	213	fc:T,fl:A,pl:T,
258	83999	133	fc:T,fl:A,pl:T,
259	85013	58	fc:A,fl:T,pl:A,
260	85013	60	fc:C,fl:T,pl:C,
261	85387	282	fc:T,fl:C,pl:N,
262	86473	93	fc:G,fl:N,pl:T,
263	86883	46	fc:A,fl:N,pl:G,
264	86933	288	fc:G,fl:N,pl:T,
265	86932	19	fc:A,fl:C,pl:C,
266	87181	345	fc:T,fl:N,pl:C,
267	87181	124	fc:T,fl:G,pl:G,
268	87505	143	fc:G,fl:T,pl:T,
269	87679	160	fc:G,fl:N,pl:A,
270	87758	109	fc:T,fl:C,pl:C,
271	87914	19	fc:C,fl:N,pl:A,
272	88695	192	fc:T,fl:N,pl:G,
273	88695	191	fc:A,fl:N,pl:T,
274	88745	75	fc:T,fl:N,pl:C,
275	88745	143	fc:C,fl:N,pl:T,
