# Stacks v2.0b;  Phylip sequential; October 02, 2018
# Seq Pos	Locus ID	Column	Population
0	6	180	fc:R,fl:G,pl:G,
1	12	115	fc:W,fl:N,pl:W,
2	13	144	fc:R,fl:N,pl:R,
3	13	164	fc:Y,fl:N,pl:Y,
4	13	216	fc:S,fl:N,pl:C,
5	14	16	fc:N,fl:N,pl:R,
6	14	69	fc:N,fl:N,pl:R,
7	14	71	fc:N,fl:N,pl:R,
8	14	73	fc:N,fl:N,pl:R,
9	14	92	fc:N,fl:N,pl:K,
10	14	119	fc:N,fl:N,pl:M,
11	14	123	fc:N,fl:N,pl:Y,
12	14	130	fc:N,fl:N,pl:R,
13	14	133	fc:N,fl:N,pl:S,
14	14	206	fc:N,fl:N,pl:Y,
15	14	256	fc:N,fl:N,pl:M,
16	18	70	fc:C,fl:N,pl:S,
17	23	265	fc:Y,fl:N,pl:N,
18	22	202	fc:N,fl:N,pl:Y,
19	33	362	fc:M,fl:N,pl:N,
20	33	184	fc:N,fl:N,pl:Y,
21	33	176	fc:Y,fl:N,pl:Y,
22	33	173	fc:N,fl:N,pl:W,
23	33	171	fc:K,fl:N,pl:K,
24	33	164	fc:N,fl:N,pl:Y,
25	33	147	fc:N,fl:N,pl:Y,
26	32	117	fc:C,fl:N,pl:Y,
27	38	203	fc:M,fl:N,pl:A,
28	38	220	fc:G,fl:N,pl:R,
29	51	212	fc:S,fl:N,pl:C,
30	53	156	fc:A,fl:N,pl:W,
31	68	208	fc:G,fl:N,pl:R,
32	68	203	fc:C,fl:N,pl:M,
33	68	201	fc:T,fl:N,pl:W,
34	68	199	fc:G,fl:N,pl:R,
35	68	198	fc:R,fl:N,pl:R,
36	67	149	fc:C,fl:N,pl:M,
37	67	159	fc:A,fl:N,pl:R,
38	67	170	fc:C,fl:N,pl:M,
39	67	186	fc:A,fl:N,pl:R,
40	81	13	fc:Y,fl:N,pl:Y,
41	81	113	fc:Y,fl:N,pl:T,
42	84	61	fc:Y,fl:N,pl:C,
43	94	55	fc:N,fl:N,pl:Y,
44	99	8	fc:M,fl:N,pl:M,
45	104	140	fc:T,fl:K,pl:T,
46	104	107	fc:G,fl:R,pl:G,
47	104	51	fc:R,fl:A,pl:A,
48	106	172	fc:R,fl:N,pl:R,
49	116	140	fc:M,fl:N,pl:M,
50	115	93	fc:R,fl:N,pl:R,
51	115	97	fc:R,fl:N,pl:R,
52	115	111	fc:N,fl:N,pl:R,
53	115	131	fc:M,fl:N,pl:M,
54	115	140	fc:M,fl:N,pl:M,
55	115	150	fc:M,fl:N,pl:M,
56	115	153	fc:Y,fl:N,pl:Y,
57	115	164	fc:R,fl:N,pl:R,
58	115	170	fc:Y,fl:N,pl:Y,
59	130	134	fc:C,fl:S,pl:C,
60	129	81	fc:Y,fl:N,pl:C,
61	129	97	fc:M,fl:N,pl:C,
62	129	239	fc:N,fl:N,pl:S,
63	129	244	fc:N,fl:N,pl:K,
64	129	273	fc:N,fl:N,pl:Y,
65	141	8	fc:Y,fl:N,pl:Y,
66	141	28	fc:K,fl:N,pl:K,
67	141	69	fc:W,fl:N,pl:W,
68	141	84	fc:R,fl:N,pl:R,
69	141	90	fc:Y,fl:N,pl:Y,
70	141	100	fc:K,fl:N,pl:K,
71	141	141	fc:K,fl:N,pl:K,
72	141	151	fc:N,fl:N,pl:R,
73	141	180	fc:Y,fl:N,pl:Y,
74	141	181	fc:M,fl:N,pl:M,
75	141	191	fc:M,fl:N,pl:M,
76	141	198	fc:W,fl:N,pl:W,
77	141	228	fc:Y,fl:N,pl:Y,
78	141	233	fc:Y,fl:N,pl:Y,
79	141	245	fc:Y,fl:N,pl:Y,
80	141	248	fc:Y,fl:N,pl:Y,
81	141	250	fc:N,fl:N,pl:S,
82	141	287	fc:N,fl:N,pl:R,
83	145	154	fc:R,fl:N,pl:A,
84	151	256	fc:C,fl:C,pl:Y,
85	164	151	fc:C,fl:N,pl:S,
86	164	188	fc:T,fl:N,pl:Y,
87	168	194	fc:G,fl:N,pl:R,
88	177	47	fc:C,fl:N,pl:S,
89	197	159	fc:R,fl:N,pl:G,
90	201	37	fc:R,fl:N,pl:A,
91	205	34	fc:K,fl:N,pl:N,
92	211	55	fc:R,fl:N,pl:R,
93	211	56	fc:Y,fl:N,pl:Y,
94	211	79	fc:S,fl:N,pl:S,
95	211	87	fc:R,fl:N,pl:R,
96	211	102	fc:Y,fl:N,pl:Y,
97	211	127	fc:S,fl:N,pl:S,
98	211	156	fc:R,fl:N,pl:R,
99	211	162	fc:Y,fl:N,pl:Y,
100	211	193	fc:R,fl:N,pl:N,
101	211	285	fc:S,fl:N,pl:N,
102	238	89	fc:Y,fl:N,pl:C,
103	245	341	fc:K,fl:N,pl:N,
104	245	238	fc:N,fl:N,pl:R,
105	245	202	fc:K,fl:N,pl:G,
106	245	159	fc:T,fl:T,pl:W,
107	251	163	fc:S,fl:N,pl:C,
108	251	185	fc:S,fl:N,pl:C,
109	251	230	fc:R,fl:N,pl:A,
110	276	289	fc:R,fl:N,pl:A,
111	276	170	fc:W,fl:N,pl:T,
112	289	248	fc:N,fl:N,pl:S,
113	313	313	fc:N,fl:N,pl:R,
114	313	16	fc:N,fl:N,pl:Y,
115	312	140	fc:R,fl:N,pl:R,
116	319	272	fc:N,fl:N,pl:S,
117	321	110	fc:A,fl:N,pl:M,
118	335	184	fc:A,fl:N,pl:R,
119	335	138	fc:R,fl:N,pl:A,
120	339	141	fc:R,fl:N,pl:N,
121	339	103	fc:G,fl:G,pl:R,
122	340	164	fc:S,fl:N,pl:G,
123	346	136	fc:Y,fl:N,pl:C,
124	350	172	fc:W,fl:A,pl:A,
125	349	116	fc:M,fl:N,pl:C,
126	360	130	fc:M,fl:C,pl:C,
127	360	220	fc:K,fl:T,pl:T,
128	371	133	fc:Y,fl:N,pl:C,
129	374	265	fc:M,fl:N,pl:C,
130	374	194	fc:Y,fl:C,pl:N,
131	374	179	fc:R,fl:R,pl:N,
132	374	145	fc:K,fl:N,pl:N,
133	374	104	fc:Y,fl:Y,pl:N,
134	374	92	fc:R,fl:R,pl:N,
135	374	65	fc:K,fl:K,pl:N,
136	374	17	fc:S,fl:S,pl:N,
137	373	52	fc:R,fl:R,pl:R,
138	373	65	fc:A,fl:M,pl:A,
139	373	70	fc:Y,fl:N,pl:Y,
140	373	94	fc:W,fl:W,pl:W,
141	373	101	fc:R,fl:R,pl:R,
142	373	115	fc:R,fl:R,pl:R,
143	373	207	fc:S,fl:N,pl:S,
144	373	259	fc:K,fl:N,pl:K,
145	373	267	fc:W,fl:W,pl:W,
146	398	315	fc:R,fl:N,pl:N,
147	397	148	fc:Y,fl:N,pl:C,
148	406	9	fc:C,fl:C,pl:M,
149	416	19	fc:R,fl:N,pl:G,
150	417	30	fc:T,fl:Y,pl:T,
151	417	76	fc:K,fl:G,pl:G,
152	417	135	fc:C,fl:Y,pl:C,
153	419	14	fc:M,fl:N,pl:A,
154	428	164	fc:N,fl:N,pl:R,
155	431	255	fc:C,fl:N,pl:Y,
156	431	172	fc:S,fl:N,pl:C,
157	431	135	fc:M,fl:N,pl:C,
158	431	103	fc:Y,fl:N,pl:C,
159	430	44	fc:S,fl:N,pl:C,
160	430	180	fc:K,fl:N,pl:G,
161	430	293	fc:K,fl:N,pl:N,
162	435	218	fc:M,fl:C,pl:A,
163	435	154	fc:N,fl:N,pl:R,
164	435	137	fc:G,fl:R,pl:G,
165	435	112	fc:Y,fl:C,pl:T,
166	435	109	fc:T,fl:W,pl:T,
167	435	92	fc:A,fl:W,pl:A,
168	435	71	fc:A,fl:W,pl:A,
169	435	38	fc:T,fl:Y,pl:T,
170	443	138	fc:Y,fl:N,pl:Y,
171	443	51	fc:K,fl:N,pl:N,
172	448	207	fc:S,fl:N,pl:C,
173	451	150	fc:G,fl:N,pl:R,
174	450	38	fc:N,fl:N,pl:R,
175	454	274	fc:M,fl:N,pl:M,
176	459	250	fc:C,fl:N,pl:S,
177	480	111	fc:Y,fl:T,pl:T,
178	487	126	fc:R,fl:N,pl:R,
179	487	95	fc:M,fl:N,pl:C,
180	491	320	fc:N,fl:N,pl:Y,
181	491	312	fc:N,fl:N,pl:M,
182	491	298	fc:N,fl:N,pl:S,
183	491	294	fc:N,fl:N,pl:K,
184	491	292	fc:N,fl:N,pl:Y,
185	491	290	fc:N,fl:N,pl:R,
186	491	276	fc:N,fl:N,pl:R,
187	491	255	fc:N,fl:N,pl:Y,
188	491	251	fc:N,fl:N,pl:R,
189	491	243	fc:N,fl:N,pl:Y,
190	491	240	fc:N,fl:N,pl:W,
191	491	239	fc:N,fl:N,pl:S,
192	491	237	fc:N,fl:N,pl:R,
193	491	208	fc:Y,fl:N,pl:Y,
194	491	198	fc:Y,fl:N,pl:Y,
195	491	175	fc:W,fl:N,pl:W,
196	491	140	fc:G,fl:N,pl:K,
197	491	137	fc:K,fl:N,pl:K,
198	491	96	fc:Y,fl:N,pl:Y,
199	491	57	fc:W,fl:N,pl:W,
200	491	52	fc:Y,fl:Y,pl:Y,
201	490	117	fc:M,fl:N,pl:M,
202	490	146	fc:M,fl:N,pl:M,
203	490	154	fc:S,fl:N,pl:S,
204	490	157	fc:Y,fl:N,pl:Y,
205	490	172	fc:K,fl:N,pl:K,
206	490	207	fc:Y,fl:N,pl:Y,
207	490	247	fc:R,fl:N,pl:R,
208	512	122	fc:N,fl:N,pl:R,
209	514	147	fc:K,fl:N,pl:G,
210	518	289	fc:G,fl:G,pl:R,
211	518	43	fc:R,fl:N,pl:R,
212	517	187	fc:M,fl:N,pl:A,
213	531	120	fc:G,fl:N,pl:R,
214	557	259	fc:S,fl:S,pl:N,
215	560	210	fc:N,fl:N,pl:K,
216	570	270	fc:K,fl:N,pl:G,
217	573	247	fc:G,fl:N,pl:S,
218	572	71	fc:W,fl:T,pl:T,
219	580	23	fc:R,fl:N,pl:N,
220	586	227	fc:W,fl:N,pl:N,
