# Population lc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
6	lc	pl	10006|15|473	-471	-0.07789	-0.04336	0.00000	-0.08880	0.21104	0.00000	-0.03532	0.24216	0.00000
7	lc	pl	10007|11|391	-389	-0.01093	-0.04336	0.00000	0.49272	0.21104	0.00000	0.50282	0.24216	0.00000
9	lc	pl	10009|19|445	-443	-0.04941	-0.04941	0.00000	-0.04812	-0.04812	0.00000	-0.06101	-0.06101	0.00000
10	lc	pl	1001|16|470	-468	0.01553	0.12193	0.00000	0.18301	0.15845	0.00000	0.16699	0.14978	0.00000
11	lc	pl	10010|11|541	-527	0.23408	0.12193	0.00000	0.13255	0.15845	0.00000	0.13164	0.14978	0.00000
13	lc	pl	10012|14|405	-403	0.42505	0.42505	0.00000	0.31603	0.31603	0.00000	0.25807	0.25807	0.00000
14	lc	pl	10014|9|435	-423	-0.05985	0.03289	0.00000	-0.03595	0.00741	0.00000	-0.07022	0.00889	0.00000
16	lc	pl	10015|17|481	-479	0.09677	0.03289	0.00000	0.03729	0.00741	0.00000	0.06338	0.00889	0.00000
20	lc	pl	10018|11|403	-400	-0.05555	-0.05555	0.00000	-0.03256	-0.03256	0.00000	-0.05108	-0.05108	0.00000
24	lc	pl	10027|12|441	-439	0.03247	0.03247	0.00000	0.00456	0.00456	0.00000	0.02502	0.02502	0.00000
26	lc	pl	10033|16|443	-441	0.02980	0.02980	0.00000	0.00133	0.00133	0.00000	0.01223	0.01223	0.00000
27	lc	pl	10034|9|432	-430	0.23779	0.41775	0.00000	0.10622	0.31865	0.00000	0.08870	0.26076	0.00000
28	lc	pl	10037|8|481	-479	0.82503	0.41775	0.00000	0.79940	0.31865	0.00000	0.65016	0.26076	0.00000
34	lc	pl	10046|16|515	-478	0.27567	0.16697	0.00000	0.14024	0.07477	0.00000	0.12700	0.10245	0.00000
35	lc	pl	10047|11|450	-448	0.04712	0.16697	0.00000	0.00260	0.07477	0.00000	0.07538	0.10245	0.00000
38	lc	pl	10050|31|495	-493	0.53828	0.40035	0.00000	0.31213	0.17615	0.00000	0.51630	0.39886	0.00000
39	lc	pl	10051|15|427	-425	0.26241	0.40035	0.00000	0.04017	0.17615	0.00000	0.28141	0.39885	0.00000
