# Population fc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population fl	R05,Y01,Y02,Y03
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Group defaultgrp	fc,fl,pl
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
6	NC_036838.1	129574	0.45119	0.19637	0.00000	0.29608	0.11547	0.00000	0.25127	0.21678	0.00000
12	NC_036838.1	184750	0.03070	0.19267	0.00000	0.01919	0.10988	0.00000	0.19520	0.22214	0.00000
13	NC_036838.1	203791	0.06665	0.19185	0.00000	0.03987	0.10832	0.00000	0.05936	0.22353	0.00000
14	NC_036838.1	278180	-0.08921	0.19579	0.00000	-0.02041	0.10663	0.00000	0.33955	0.23090	0.00000
18	NC_036838.1	294441	0.25021	0.19775	0.00000	0.06969	0.10701	0.00000	0.34542	0.23245	0.00000
22	NC_036838.1	351036	0.31849	0.20694	0.00000	0.20416	0.11007	0.00000	0.09690	0.23710	0.00000
23	NC_036838.1	350993	0.32067	0.20694	0.00000	0.16409	0.11006	0.00000	0.32582	0.23710	0.00000
32	NC_036838.1	596700	0.44595	0.21432	0.00000	0.20272	0.11307	0.00000	0.35411	0.21678	0.00000
33	NC_036838.1	597124	0.16217	0.21423	0.00000	0.14012	0.11303	0.00000	0.36157	0.21669	0.00000
38	NC_036838.1	642853	-0.03043	0.20294	0.00000	-0.00503	0.10767	0.00000	-0.00470	0.20733	0.00000
51	NC_036838.1	1072846	-0.05463	0.02062	0.00000	-0.00241	0.00623	0.00000	0.29438	0.19079	0.00000
53	NC_036838.1	1237505	0.15920	0.05047	0.00000	0.02367	0.00814	0.00000	0.05606	0.09530	0.00000
67	NC_036838.1	1422786	-0.01305	0.02474	0.00000	0.00186	0.01246	0.00000	0.03336	0.06344	0.00000
68	NC_036838.1	1423191	0.00880	0.02470	0.00000	-0.00524	0.01250	0.00000	0.01986	0.06352	0.00000
78	NC_036838.1	1625524	-0.05780	0.04404	0.00000	-0.00312	0.06212	0.00000	0.16093	0.15690	0.00000
81	NC_036838.1	1733753	0.34450	0.05749	0.00000	0.34234	0.06320	0.00000	0.46844	0.18607	0.00000
84	NC_036838.1	1744572	-0.04695	0.05755	0.00000	-0.00190	0.06067	0.00000	0.02798	0.18642	0.00000
94	NC_036838.1	1936130	-0.15509	0.05108	0.00000	-0.21891	-0.00592	0.00000	0.25606	0.15337	0.00000
99	NC_036838.1	1973227	0.01245	0.05653	0.00000	0.00719	-0.01174	0.00000	0.34251	0.14782	0.00000
104	NC_036838.1	1995504	0.23771	0.06142	0.00000	0.01243	-0.01358	0.00000	0.09049	0.14569	0.00000
106	NC_036838.1	2013574	-0.06967	0.06623	0.00000	-0.00602	-0.01429	0.00000	-0.00146	0.14466	0.00000
115	NC_036838.1	2082754	-0.07143	0.09022	0.00000	-0.07656	-0.01211	0.00000	0.25222	0.14670	0.00000
116	NC_036838.1	2082580	-0.09417	0.09015	0.00000	-0.10215	-0.01212	0.00000	-0.20137	0.14668	0.00000
129	NC_036838.1	2176752	0.20000	0.12965	0.00000	0.19424	-0.00102	0.00000	0.84827	0.16412	0.00000
130	NC_036838.1	2176818	0.59395	0.12968	0.00000	0.07003	-0.00101	0.00000	0.21565	0.16413	0.00000
136	NC_036838.1	2290662	0.02814	0.15758	0.00000	0.00137	0.01207	0.00000	0.12239	0.20307	0.00000
141	NC_036838.1	2505515	-0.13078	0.15138	0.00000	-0.15784	0.03106	0.00000	0.31336	0.27948	0.00000
145	NC_036838.1	2555347	0.40640	0.15787	0.00000	0.19637	0.03749	0.00000	0.46995	0.26513	0.00000
151	NC_036838.1	2700884	0.11284	0.15731	0.00000	0.01601	0.04287	0.00000	-0.01696	0.16264	0.00000
164	NC_036838.1	2946656	-0.00845	0.15514	0.00000	-0.00035	0.04093	0.00000	0.02109	0.15017	0.00000
168	NC_036838.1	2979901	0.36865	0.15263	0.00000	0.12833	0.03994	0.00000	0.13636	0.15891	0.00000
175	NC_036838.1	3062091	0.30313	0.13978	0.00000	0.03765	0.03586	0.00000	0.32438	0.17488	0.00000
177	NC_036838.1	3064112	0.06154	0.13936	0.00000	0.00658	0.03576	0.00000	0.29381	0.17513	0.00000
188	NC_036838.1	3211044	-0.06931	0.12648	0.00000	-0.00772	0.03572	0.00000	-0.02141	0.19022	0.00000
197	NC_036838.1	3253342	-0.02223	0.14088	0.00000	-0.00222	0.03994	0.00000	0.25833	0.20128	0.00000
201	NC_036838.1	3348135	0.24947	0.20966	0.00000	0.11153	0.05482	0.00000	0.06375	0.25075	0.00000
205	NC_036838.1	3407677	0.00862	0.26487	0.00000	0.00720	0.06480	0.00000	0.21943	0.29356	0.00000
211	NC_036838.1	3488857	-0.17578	0.32238	0.00000	-0.21937	0.07456	0.00000	0.57191	0.34742	0.00000
212	NC_036838.1	3488930	1.00000	0.32242	0.00000	0.26230	0.07457	0.00000	0.59014	0.34746	0.00000
238	NC_036838.1	3745247	0.32788	0.10081	0.00000	0.17633	0.04100	0.00000	0.52044	0.25703	0.00000
244	NC_036838.1	3812474	-0.01953	0.04977	0.00000	-0.00231	0.02941	0.00000	0.08780	0.22712	0.00000
245	NC_036838.1	3812338	-0.06256	0.04984	0.00000	0.00504	0.02943	0.00000	0.07079	0.22716	0.00000
249	NC_036838.1	3860702	0.04294	0.02899	0.00000	0.00753	0.02365	0.00000	0.14277	0.21420	0.00000
251	NC_036838.1	3863990	-0.06279	0.02788	0.00000	-0.00275	0.02331	0.00000	0.29439	0.21353	0.00000
276	NC_036838.1	4289860	-0.06115	-0.06548	0.00000	-0.00420	-0.00932	0.00000	0.13969	0.14307	0.00000
289	NC_036838.1	4568127	-0.12545	-0.05348	0.00000	-0.06413	-0.04767	0.00000	0.14731	0.07308	0.00000
312	NC_036838.1	4758530	-0.04647	0.01643	0.00000	-0.04874	-0.02239	0.00000	-0.07728	0.08785	0.00000
313	NC_036838.1	4758601	-0.12698	0.01645	0.00000	-0.14199	-0.02238	0.00000	-0.04394	0.08787	0.00000
319	NC_036838.1	4838157	-0.14979	0.04572	0.00000	-0.01380	-0.00524	0.00000	0.14672	0.11537	0.00000
321	NC_036838.1	4842647	0.35547	0.04739	0.00000	0.12280	-0.00418	0.00000	0.36605	0.11706	0.00000
335	NC_036838.1	5130093	0.14363	0.08670	0.00000	0.04654	0.02983	0.00000	0.32004	0.13133	0.00000
339	NC_036838.1	5164316	0.00411	0.08379	0.00000	-0.01490	0.02750	0.00000	0.26232	0.12453	0.00000
340	NC_036838.1	5168446	0.04666	0.08339	0.00000	0.00697	0.02715	0.00000	-0.00755	0.12371	0.00000
346	NC_036838.1	5200242	-0.04427	0.08004	0.00000	-0.00197	0.02392	0.00000	-0.01007	0.11742	0.00000
349	NC_036838.1	5202404	0.30805	0.07979	0.00000	0.17076	0.02367	0.00000	0.22938	0.11699	0.00000
350	NC_036838.1	5202339	0.14004	0.07980	0.00000	0.03829	0.02368	0.00000	0.05035	0.11701	0.00000
360	NC_036838.1	5343893	-0.02222	0.05822	0.00000	-0.00034	-0.00256	0.00000	0.00281	0.09119	0.00000
371	NC_036838.1	5431862	0.29528	0.04505	0.00000	0.07085	-0.02120	0.00000	0.20349	0.08037	0.00000
373	NC_036838.1	5437334	-0.10309	0.04440	0.00000	-0.11239	-0.02211	0.00000	0.00196	0.07983	0.00000
374	NC_036838.1	5437331	-0.15004	0.04440	0.00000	-0.22139	-0.02211	0.00000	0.05919	0.07983	0.00000
397	NC_036838.1	5666307	0.06122	0.12634	0.00000	0.01124	0.06568	0.00000	0.02365	0.10938	0.00000
398	NC_036838.1	5666104	-0.01658	0.12616	0.00000	-0.00313	0.06549	0.00000	0.08670	0.10927	0.00000
406	NC_036838.1	5822928	0.13534	0.24848	0.00000	0.01734	0.19060	0.00000	0.02686	0.22187	0.00000
416	NC_036838.1	5908122	0.79540	0.25980	0.00000	0.73766	0.21228	0.00000	0.61161	0.28502	0.00000
417	NC_036838.1	5908526	0.07234	0.25974	0.00000	0.00248	0.21228	0.00000	-0.00155	0.28529	0.00000
