# Population fc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population fl	R05,Y01,Y02,Y03
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
6	fc	fl	NC_036838.1	129574	0.36918	0.11910	0.00000	0.35209	0.14748	0.00000	0.45283	0.32133	0.00000
12	fc	fl	NC_036838.1	184750	-0.00455	0.12644	0.00000	-0.00314	0.15739	0.00000	0.36570	0.32017	0.00000
13	fc	fl	NC_036838.1	203791	-0.13932	0.13041	0.00000	-0.02391	0.16244	0.00000	0.05140	0.31954	0.00000
14	fc	fl	NC_036838.1	278180	-0.38021	0.15795	0.00000	-0.37799	0.19325	0.00000	0.37107	0.32175	0.00000
22	fc	fl	NC_036838.1	351036	0.28713	0.19247	0.00000	0.26606	0.23184	0.00000	0.14110	0.32212	0.00000
23	fc	fl	NC_036838.1	350993	0.74319	0.19245	0.00000	0.83330	0.23182	0.00000	0.63054	0.32213	0.00000
38	fc	fl	NC_036838.1	642853	-0.13932	-0.02091	0.00000	-0.00950	0.09109	0.00000	0.01397	0.10015	0.00000
51	fc	fl	NC_036838.1	1072846	-0.33197	-0.31331	0.00000	-0.01955	-0.01893	0.00000	0.53875	0.49671	0.00000
68	fc	fl	NC_036838.1	1423191	-0.11554	-0.12739	0.00000	-0.01312	0.01892	0.00000	0.06987	0.15351	0.00000
78	fc	fl	NC_036838.1	1625524	-0.33100	-0.03711	0.00000	-0.02550	0.11035	0.00000	0.23495	0.28043	0.00000
81	fc	fl	NC_036838.1	1733753	0.51471	0.00307	0.00000	0.60672	0.09551	0.00000	0.75634	0.29661	0.00000
84	fc	fl	NC_036838.1	1744572	-0.14027	0.00497	0.00000	-0.00827	0.08981	0.00000	0.07850	0.29480	0.00000
94	fc	fl	NC_036838.1	1936130	-0.41639	0.02050	0.00000	-0.91453	-0.02972	0.00000	0.04815	0.20316	0.00000
99	fc	fl	NC_036838.1	1973227	-0.18929	0.03247	0.00000	-0.06027	-0.03572	0.00000	0.58981	0.18566	0.00000
104	fc	fl	NC_036838.1	1995504	0.40509	0.04231	0.00000	0.04600	-0.03575	0.00000	0.11303	0.17670	0.00000
106	fc	fl	NC_036838.1	2013574	-0.13985	0.05177	0.00000	-0.00884	-0.03400	0.00000	0.01969	0.17035	0.00000
116	fc	fl	NC_036838.1	2082580	-0.17073	0.09934	0.00000	-0.18631	-0.01688	0.00000	-0.23932	0.15476	0.00000
130	fc	fl	NC_036838.1	2176818	0.77042	0.18773	0.00000	0.32405	0.02738	0.00000	0.37251	0.16325	0.00000
141	fc	fl	NC_036838.1	2505515	-0.38402	0.16786	0.00000	-0.53683	0.12875	0.00000	0.47965	0.54859	0.00000
145	fc	fl	NC_036838.1	2555347	0.55140	0.17667	0.00000	0.64835	0.15721	0.00000	0.64041	0.56770	0.00000
175	fc	fl	NC_036838.1	3062091	0.52865	0.14541	0.00000	0.24543	0.10513	0.00000	0.25641	0.20176	0.00000
188	fc	fl	NC_036838.1	3211044	-0.08314	0.07138	0.00000	-0.00644	0.10617	0.00000	-0.05928	0.24977	0.00000
197	fc	fl	NC_036838.1	3253342	-0.29095	0.08931	0.00000	-0.03903	0.12966	0.00000	0.43674	0.28057	0.00000
201	fc	fl	NC_036838.1	3348135	0.12345	0.18619	0.00000	0.08302	0.22054	0.00000	0.03587	0.37587	0.00000
205	fc	fl	NC_036838.1	3407677	0.08879	0.26826	0.00000	0.07617	0.29453	0.00000	0.49318	0.44580	0.00000
212	fc	fl	NC_036838.1	3488930	1.00000	0.35834	0.00000	1.00000	0.38401	0.00000	1.00000	0.53041	0.00000
244	fc	fl	NC_036838.1	3812474	-0.28114	-0.23924	0.00000	-0.04590	-0.01360	0.00000	0.14621	0.27092	0.00000
245	fc	fl	NC_036838.1	3812338	-0.29790	-0.23914	0.00000	-0.10863	-0.01352	0.00000	0.09020	0.27097	0.00000
249	fc	fl	NC_036838.1	3860702	-0.22966	-0.26671	0.00000	-0.05936	-0.03327	0.00000	0.07580	0.26103	0.00000
251	fc	fl	NC_036838.1	3863990	-0.33216	-0.26785	0.00000	-0.01813	-0.03411	0.00000	0.52973	0.26081	0.00000
276	fc	fl	NC_036838.1	4289860	-0.33172	-0.32099	0.00000	-0.04219	-0.04410	0.00000	0.30006	0.27856	0.00000
289	fc	fl	NC_036838.1	4568127	-0.17073	-0.18148	0.00000	-0.07865	-0.13487	0.00000	-0.09148	-0.10178	0.00000
312	fc	fl	NC_036838.1	4758530	-0.02411	-0.14882	0.00000	-0.02499	-0.16271	0.00000	-0.04317	-0.15661	0.00000
313	fc	fl	NC_036838.1	4758601	-0.40000	-0.14881	0.00000	-0.48485	-0.16271	0.00000	-0.49737	-0.15658	0.00000
335	fc	fl	NC_036838.1	5130093	-0.09292	-0.06375	0.00000	-0.04798	-0.02288	0.00000	0.53583	0.17587	0.00000
339	fc	fl	NC_036838.1	5164316	-0.18929	-0.06137	0.00000	-0.06027	-0.02510	0.00000	0.35993	0.17021	0.00000
340	fc	fl	NC_036838.1	5168446	-0.06565	-0.06111	0.00000	-0.01564	-0.02550	0.00000	-0.05528	0.16947	0.00000
346	fc	fl	NC_036838.1	5200242	-0.13932	-0.05930	0.00000	-0.00950	-0.02965	0.00000	-0.03353	0.16365	0.00000
349	fc	fl	NC_036838.1	5202404	0.06840	-0.05919	0.00000	0.05667	-0.03000	0.00000	0.18744	0.16326	0.00000
350	fc	fl	NC_036838.1	5202339	0.06587	-0.05919	0.00000	0.02743	-0.02999	0.00000	0.10217	0.16327	0.00000
360	fc	fl	NC_036838.1	5343893	-0.07143	-0.05749	0.00000	-0.00953	-0.07054	0.00000	0.02218	0.14566	0.00000
371	fc	fl	NC_036838.1	5431862	0.46371	-0.06424	0.00000	0.27525	-0.10187	0.00000	0.37763	0.14656	0.00000
373	fc	fl	NC_036838.1	5437334	-0.37500	-0.06492	0.00000	-0.42353	-0.10342	0.00000	0.08333	0.14682	0.00000
374	fc	fl	NC_036838.1	5437331	-0.36952	-0.06492	0.00000	-0.55676	-0.10342	0.00000	0.09117	0.14682	0.00000
397	fc	fl	NC_036838.1	5666307	-0.04858	0.00033	0.00000	-0.01341	0.02366	0.00000	0.05660	0.18959	0.00000
398	fc	fl	NC_036838.1	5666104	-0.24036	0.00010	0.00000	-0.05580	0.02336	0.00000	0.23645	0.18950	0.00000
416	fc	fl	NC_036838.1	5908122	0.69032	0.24314	0.00000	0.78792	0.31987	0.00000	0.62641	0.35794	0.00000
417	fc	fl	NC_036838.1	5908526	0.11914	0.24311	0.00000	0.00526	0.31999	0.00000	-0.00495	0.35820	0.00000
419	fc	fl	NC_036838.1	5920954	0.58801	0.24143	0.00000	0.68806	0.32305	0.00000	0.54653	0.36622	0.00000
430	fc	fl	NC_036838.1	6046759	-0.33100	0.16446	0.00000	-0.02550	0.31398	0.00000	0.56442	0.43873	0.00000
443	fc	fl	NC_036838.1	6140810	0.46396	0.08890	0.00000	0.67839	0.28660	0.00000	0.61207	0.47054	0.00000
448	fc	fl	NC_036838.1	6204007	-0.29461	0.04957	0.00000	-0.03628	0.26590	0.00000	0.44542	0.47355	0.00000
450	fc	fl	NC_036838.1	6210742	0.73077	0.04603	0.00000	0.82310	0.26364	0.00000	0.29956	0.47297	0.00000
454	fc	fl	NC_036838.1	6218128	-0.33197	0.04226	0.00000	-0.01955	0.26111	0.00000	0.53875	0.47209	0.00000
480	fc	fl	NC_036838.1	6563290	-0.08750	-0.11699	0.00000	-0.00476	-0.08223	0.00000	-0.00000	0.24265	0.00000
487	fc	fl	NC_036838.1	6685034	0.15789	-0.14388	0.00000	0.11111	-0.13560	0.00000	0.30323	0.29933	0.00000
490	fc	fl	NC_036838.1	6709281	-0.36308	-0.14837	0.00000	-0.44743	-0.14129	0.00000	0.63652	0.31137	0.00000
491	fc	fl	NC_036838.1	6709320	-0.36596	-0.14838	0.00000	-0.18421	-0.14130	0.00000	0.07051	0.31139	0.00000
