# Population fl	R05,Y01,Y02,Y03
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
4	fl	pl	10003|14|453	-451	0.20354	0.20354	0.00000	0.02270	0.02270	0.00000	-0.01544	-0.01544	0.00000
6	fl	pl	10006|15|473	-471	-0.42857	-0.15920	0.00000	-0.56250	0.33894	0.00000	-0.37681	0.41750	0.00000
7	fl	pl	10007|11|391	-389	0.03834	-0.15920	0.00000	1.00000	0.33894	0.00000	1.00000	0.41750	0.00000
9	fl	pl	10009|19|445	-443	0.03883	0.03883	0.00000	0.03047	0.03047	0.00000	0.42656	0.42656	0.00000
10	fl	pl	1001|16|470	-468	-0.05706	-0.05706	0.00000	-0.03491	-0.03491	0.00000	0.21587	0.21587	0.00000
16	fl	pl	10015|17|481	-479	-0.09091	-0.09091	0.00000	-0.01818	-0.01818	0.00000	-0.04015	-0.04015	0.00000
20	fl	pl	10018|11|403	-400	0.54930	0.54930	0.00000	0.64641	0.64641	0.00000	0.54400	0.54400	0.00000
26	fl	pl	10033|16|443	-441	-0.08127	-0.08127	0.00000	-0.00688	-0.00688	0.00000	0.01223	0.01223	0.00000
28	fl	pl	10037|8|481	-479	-0.13219	-0.13219	0.00000	-0.01481	-0.01481	0.00000	-0.11560	-0.11560	0.00000
35	fl	pl	10047|11|450	-448	-0.13219	-0.13219	0.00000	-0.01481	-0.01481	0.00000	-0.11560	-0.11560	0.00000
38	fl	pl	10050|31|495	-493	0.28669	0.05807	0.00000	0.19822	0.07287	0.00000	0.02471	-0.02794	0.00000
39	fl	pl	10051|15|427	-425	-0.21212	0.05807	0.00000	-0.07527	0.07287	0.00000	-0.09016	-0.02794	0.00000
44	fl	pl	10057|10|395	-391	0.73034	0.73034	0.00000	0.31100	0.31100	0.00000	0.18039	0.18039	0.00000
45	fl	pl	10058|17|471	-455	-0.41176	0.34454	0.00000	-0.51579	0.29624	0.00000	0.41896	0.52108	0.00000
46	fl	pl	10060|11|425	-423	1.00000	0.34454	0.00000	1.00000	0.29624	0.00000	0.60959	0.52108	0.00000
48	fl	pl	10061|14|435	-433	0.58674	0.82781	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
51	fl	pl	10063|11|447	-445	1.00000	0.82781	0.00000	1.00000	1.00000	0.00000	1.00000	1.00000	0.00000
54	fl	pl	10069|11|393	-391	0.28722	0.28722	0.00000	0.12259	0.12259	0.00000	0.54138	0.54138	0.00000
55	fl	pl	10072|8|331	-329	-0.39130	-0.18699	0.00000	-0.46286	-0.20037	0.00000	0.26570	0.12767	0.00000
56	fl	pl	10074|8|356	-354	-0.03597	-0.18699	0.00000	-0.00635	-0.20037	0.00000	0.02564	0.12767	0.00000
58	fl	pl	10077|9|409	-407	-0.02483	0.37555	0.00000	-0.26316	0.34518	0.00000	0.54296	0.69237	0.00000
59	fl	pl	10078|29|508	-506	0.64949	0.37555	0.00000	0.76141	0.34518	0.00000	0.79459	0.69237	0.00000
62	fl	pl	10080|12|480	-478	0.43143	0.43143	0.00000	0.23495	0.23495	0.00000	0.61616	0.61616	0.00000
67	fl	pl	10087|13|504	-502	-0.08127	-0.08127	0.00000	-0.01053	-0.01053	0.00000	0.02251	0.02251	0.00000
71	fl	pl	10092|11|405	-403	0.20354	0.23501	0.00000	0.02270	0.18407	0.00000	-0.01544	0.19194	0.00000
72	fl	pl	10094|22|488	-484	0.33840	0.23501	0.00000	0.71429	0.18407	0.00000	0.87333	0.19194	0.00000
73	fl	pl	10095|11|471	-447	0.17949	0.22076	0.00000	0.02141	0.10381	0.00000	-0.01877	0.17402	0.00000
74	fl	pl	10097|15|493	-491	0.26638	0.22076	0.00000	0.19489	0.10381	0.00000	0.38710	0.17402	0.00000
76	fl	pl	10099|22|456	-454	0.03226	0.03226	0.00000	0.02597	0.02597	0.00000	-0.02941	-0.02941	0.00000
79	fl	pl	10102|9|368	-366	0.58722	0.06767	0.00000	1.00000	0.41521	0.00000	0.36242	0.31030	0.00000
80	fl	pl	10103|12|457	-455	-0.32964	0.06767	0.00000	-0.03198	0.41521	0.00000	0.27045	0.31030	0.00000
87	fl	pl	10117|14|437	-435	-0.13475	-0.15276	0.00000	-0.01337	-0.03764	0.00000	-0.03578	0.02367	0.00000
88	fl	pl	1012|13|463	-461	-0.17557	-0.15276	0.00000	-0.06838	-0.03764	0.00000	0.09897	0.02367	0.00000
90	fl	pl	10123|11|472	-470	0.50549	0.50549	0.00000	0.59621	0.59621	0.00000	0.67917	0.67917	0.00000
95	fl	pl	10129|8|396	-394	-0.09346	-0.09346	0.00000	-0.04985	-0.04985	0.00000	0.39400	0.39400	0.00000
96	fl	pl	1013|10|402	-400	0.04428	0.04428	0.00000	0.63791	0.63791	0.00000	0.60905	0.60905	0.00000
99	fl	pl	10133|10|367	-365	0.37255	0.37255	0.00000	0.06189	0.06189	0.00000	-0.00377	-0.00377	0.00000
