# Population fl	R05,Y01,Y02,Y03
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
12	fl	pl	NC_036838.1	184750	-0.25373	-0.07112	0.00000	-0.06137	-0.04692	0.00000	0.21514	0.21327	0.00000
13	fl	pl	NC_036838.1	203791	0.02208	-0.06571	0.00000	0.05419	-0.04257	0.00000	0.04523	0.21331	0.00000
14	fl	pl	NC_036838.1	278180	-0.33510	-0.04191	0.00000	-0.67045	-0.02099	0.00000	0.41896	0.21276	0.00000
18	fl	pl	NC_036838.1	294441	-0.09346	-0.03638	0.00000	-0.04985	-0.01532	0.00000	0.39400	0.21191	0.00000
22	fl	pl	NC_036838.1	351036	-0.13475	-0.01702	0.00000	-0.01337	0.00634	0.00000	-0.07846	0.20645	0.00000
23	fl	pl	NC_036838.1	350993	0.68831	-0.01703	0.00000	0.78635	0.00632	0.00000	0.29918	0.20645	0.00000
32	fl	pl	NC_036838.1	596700	0.09718	0.00090	0.00000	0.08608	0.05482	0.00000	0.29011	0.13728	0.00000
38	fl	pl	NC_036838.1	642853	-0.13475	-0.00942	0.00000	-0.01337	0.04886	0.00000	-0.03578	0.12349	0.00000
53	fl	pl	NC_036838.1	1237505	-0.02716	-0.07607	0.00000	-0.00889	-0.01531	0.00000	-0.08159	-0.05392	0.00000
67	fl	pl	NC_036838.1	1422786	-0.13649	-0.10763	0.00000	-0.02155	-0.02090	0.00000	-0.02703	-0.02265	0.00000
68	fl	pl	NC_036838.1	1423191	-0.11066	-0.10768	0.00000	-0.02155	-0.02091	0.00000	-0.02703	-0.02254	0.00000
81	fl	pl	NC_036838.1	1733753	-0.12941	-0.09406	0.00000	-0.06077	-0.09586	0.00000	0.33352	0.23141	0.00000
94	fl	pl	NC_036838.1	1936130	-0.40000	0.00354	0.00000	-0.48485	-0.07910	0.00000	0.44267	0.15889	0.00000
99	fl	pl	NC_036838.1	1973227	-0.00800	0.02369	0.00000	-0.00570	-0.06669	0.00000	0.24368	0.14579	0.00000
104	fl	pl	NC_036838.1	1995504	0.40496	0.03642	0.00000	0.06372	-0.05839	0.00000	0.16450	0.13960	0.00000
106	fl	pl	NC_036838.1	2013574	-0.13649	0.04713	0.00000	-0.01216	-0.05121	0.00000	-0.01034	0.13560	0.00000
116	fl	pl	NC_036838.1	2082580	-0.19149	0.08967	0.00000	-0.22071	-0.02182	0.00000	-0.33333	0.13044	0.00000
130	fl	pl	NC_036838.1	2176818	0.70124	0.14912	0.00000	0.31947	0.02536	0.00000	0.40625	0.15666	0.00000
136	fl	pl	NC_036838.1	2290662	-0.06883	0.18512	0.00000	-0.00811	0.07549	0.00000	0.23443	0.24564	0.00000
141	fl	pl	NC_036838.1	2505515	-0.41176	0.24529	0.00000	-0.51579	0.20821	0.00000	0.40810	0.40881	0.00000
145	fl	pl	NC_036838.1	2555347	1.00000	0.25248	0.00000	1.00000	0.22324	0.00000	0.76398	0.38290	0.00000
